Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing Select value x,Availability Select value x,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
McTominay,Midfielder,Man Utd,4.8,39,3.9,3,3,0.6,3,34.5,127,,,,100,Available,,1.3,177870,6684,59267,11216,606,3,0,4,7,1.04,0,0,0,0,0,0,3,188.4,24.4,131,,"Wed Sep 27, 09:00",392,"Fri Dec 1, 18:15:03"
Akanji,Defender,Man City,4.9,38,3.8,2,5.3,1.1,6.3,40,194,,,,100,Available,,5.2,934673,22270,962332,7907,900,2,0,3,11,1.1,0,0,0,1,1,0,1,238,102.5,60,,"Wed Nov 8, 09:00",341,"Fri Dec 1, 18:15:03"
Antonio,Forward,West Ham,5.7,38,3.2,0,2,0.4,0,36.4,116,,,,0,Injured,Knee injury - Expected back 10 Dec,2.6,658408,127,705082,39625,812,2,2,4,13,1.44,0,0,0,2,0,0,4,142.8,86.9,138,,"Tue Nov 21, 12:00",523,"Fri Dec 1, 18:15:03"
Disasi,Defender,Chelsea,5,38,3.5,0,0.7,0.1,0.7,33.7,186,,,,100,Available,,4.2,885495,2012,685092,18598,966,1,0,3,13,1.21,0,0,0,2,0,0,3,209.4,49.5,78,,"Tue Oct 10, 12:00",611,"Fri Dec 1, 18:15:03"
José Sá,Goalkeeper,Wolves,5,38,2.9,2,1.7,0.3,1.2,33.5,220,,,,100,Available,,1.6,141911,3847,125084,5672,1170,0,0,1,23,1.77,0,0,0,1,0,45,4,334.6,0,0,,,569,"Fri Dec 1, 18:15:03"
Tarkowski,Defender,Everton,4.4,38,2.9,1,1,0.2,1,55.9,210,,,,100,Available,,3.1,401074,6277,290228,9816,1170,1,1,2,20,1.54,0,0,0,2,0,0,4,318.2,102.9,136,,"Sun Aug 6, 23:30",265,"Fri Dec 1, 18:15:03"
Trossard,Midfielder,Arsenal,6.5,38,4.2,3,5.7,0.9,6.2,46.3,118,,,4,100,Available,,2.6,245406,19610,529408,13218,390,3,1,2,3,0.69,0,0,0,0,0,0,6,159.4,143.1,160,,"Mon Oct 9, 08:30",26,"Fri Dec 1, 18:15:02"
Virgil,Defender,Liverpool,6.1,38,3.5,2,3.3,0.5,3.8,48.7,206,,3,,100,Available,,8.6,528299,37465,709910,9896,927,0,2,3,10,0.97,0,0,0,1,1,0,5,310.6,75.6,99,,"Thu Nov 9, 08:30",313,"Fri Dec 1, 18:15:03"
Burn,Defender,Newcastle,4.5,37,3.4,0,0.3,0.1,0,36.4,175,,,,0,Injured,Back injury - Expected back 01 Jan,3.9,1356041,161,1302817,54346,945,1,0,4,11,1.05,0,0,0,2,0,0,0,198.6,57.4,107,,"Sat Nov 4, 21:00",407,"Fri Dec 1, 18:15:03"
Coufal,Defender,West Ham,4.6,37,2.8,1,0.7,0.2,0.7,53.9,221,,,,100,Available,,3.8,529728,6322,182334,21186,1166,0,4,1,23,1.78,0,0,0,2,0,0,4,305,216.4,18,,"Wed Oct 25, 22:30",528,"Fri Dec 1, 18:15:03"
Digne,Defender,Aston Villa,4.7,37,2.8,2,1.7,0.4,1.7,73,216,,2,3,100,Available,,6.3,804467,11304,321498,15980,1160,0,3,2,18,1.4,0,0,0,4,0,0,2,247.2,400.5,83,,,42,"Fri Dec 1, 18:15:02"
Flekken,Goalkeeper,Brentford,4.5,37,3.1,3,2,0.4,2.5,25.4,212,,,,100,Available,,3,373114,38527,267897,3493,1035,0,0,3,16,1.39,0,0,0,1,0,31,1,253.4,0,0,,"Sat Nov 4, 19:30",101,"Fri Dec 1, 18:15:03"
L.Paquetá,Midfielder,West Ham,6,37,3.1,2,3.7,0.6,3.7,62.8,176,3,,,100,Available,,1.7,185605,5609,199800,7295,1065,2,1,2,18,1.52,0,0,0,5,0,0,3,229.8,269.8,128,,"Sun Oct 29, 22:00",539,"Fri Dec 1, 18:15:03"
Longstaff,Midfielder,Newcastle,4.9,37,3.1,0,1.3,0.3,0.3,40.5,150,,,,25,Doubtful,Ankle injury - 25% chance of playing,0.8,150453,194,98931,13244,808,2,2,5,10,1.11,0,0,0,4,0,0,0,186,97.8,119,,"Tue Nov 21, 12:00",421,"Fri Dec 1, 18:15:03"
T.Silva,Defender,Chelsea,5,37,2.8,0,2.7,0.5,2.7,44.8,251,,,,100,Available,,3.6,274761,5877,247669,11646,1170,1,0,3,20,1.54,0,0,0,2,0,0,2,306.4,63.2,78,,,217,"Fri Dec 1, 18:15:03"
Tavernier,Midfielder,Bournemouth,5.4,37,3.7,16,7,1.3,7,56.2,132,,2,3,100,Available,,0.1,14792,7459,7813,748,698,2,1,3,15,1.93,0,0,0,0,0,0,3,198,165.2,198,,"Wed Jul 26, 15:30",86,"Fri Dec 1, 18:15:03"
Andreas,Midfielder,Fulham,5.3,36,2.8,2,2.3,0.4,1.8,55.9,126,2,3,1,100,Available,,0.7,129684,453,169597,3174,854,1,2,4,16,1.69,0,0,0,2,0,0,0,128.4,329.6,102,,"Sat Aug 26, 21:00",267,"Fri Dec 1, 18:15:03"
Eze,Midfielder,Crystal Palace,6.2,36,3.6,1,3.7,0.6,0.9,80.9,148,2,1,1,25,Doubtful,Ankle injury - 25% chance of playing,4.9,564286,1485,1606137,104499,797,2,2,3,10,1.13,0,0,0,2,0,0,1,224.2,332.2,252,,"Sat Nov 25, 19:00",226,"Fri Dec 1, 18:15:03"
Sarr,Midfielder,Spurs,4.6,36,3,0,2.3,0.5,0,57.4,171,,,,0,Injured,Knock - Expected back 15 Dec,2.9,553299,2382,385211,28318,829,1,2,4,7,0.76,0,0,0,3,0,0,2,191.6,190.9,189,,"Fri Nov 24, 15:00",513,"Fri Dec 1, 18:15:03"
Archer,Forward,Sheffield Utd,4.6,35,3.2,2,4.3,0.9,4.3,35.8,99,,,,100,Available,,10.3,1158008,34878,693023,23079,806,2,1,0,25,2.79,0,0,0,2,0,0,6,109.2,128.6,121,,,33,"Fri Dec 1, 18:15:03"
Boly,Defender,Nottm Forest,4.5,35,3.5,0,0.3,0.1,0.3,44.9,165,,,,100,Available,,0.7,117793,2720,73760,3791,767,1,0,3,12,1.41,0,0,0,1,0,0,3,269.8,37.5,141,,"Tue Sep 19, 09:00",439,"Fri Dec 1, 18:15:03"
Colwill,Defender,Chelsea,4.5,35,2.9,0,0,0,0,35.1,197,,,,100,Available,,4.5,667307,4812,530345,19375,949,0,1,3,13,1.23,0,0,0,2,0,0,3,183.6,67,101,,"Mon Nov 13, 01:00",197,"Fri Dec 1, 18:15:03"
Gabriel,Defender,Arsenal,4.9,35,3.2,6,3.3,0.7,3.8,23.4,165,,,,100,Available,,15.6,967450,46624,2313206,13462,834,0,0,4,7,0.76,0,0,0,1,0,0,2,151,29.4,53,,"Sat Sep 30, 23:00",5,"Fri Dec 1, 18:15:02"
Garner,Midfielder,Everton,4.9,35,2.7,2,1.7,0.3,1.7,54.2,159,,4,3,100,Available,,0.1,24623,877,16605,898,1066,1,1,2,19,1.6,0,0,0,2,0,0,2,199.2,257.2,86,,,250,"Fri Dec 1, 18:15:03"
Hamer,Midfielder,Sheffield Utd,5,35,2.9,2,1.7,0.3,1.7,49.7,135,,,2,100,Available,,0.2,50124,1352,35743,1031,982,2,0,1,24,2.2,0,0,0,2,0,0,2,163.4,232.7,101,,"Sat Nov 4, 19:30",663,"Fri Dec 1, 18:15:03"
Kudus,Midfielder,West Ham,6.6,35,3.5,10,7.3,1.1,7.3,34.1,120,,,,100,Available,,2.9,347678,62412,69509,9945,455,2,3,0,13,2.57,0,0,0,2,0,0,4,139,105,98,,,689,"Fri Dec 1, 18:15:03"
Nørgaard,Midfielder,Brentford,5.4,35,2.7,2,1.7,0.3,2.2,57.2,193,,,,100,Available,,0.2,15727,1457,17683,464,1120,1,1,3,18,1.45,0,0,0,4,0,0,2,222,173.5,175,,,110,"Fri Dec 1, 18:15:03"
Raya,Goalkeeper,Arsenal,4.9,35,4.4,0,1.7,0.3,2.2,11.1,152,,,,100,Available,,4.6,411768,45692,467280,9954,720,0,0,4,6,0.75,0,0,0,0,0,12,2,112,0,0,,"Mon Nov 13, 01:00",113,"Fri Dec 1, 18:15:02"
Bruno G.,Midfielder,Newcastle,5.8,34,2.8,2,1.3,0.2,1.3,60.7,169,,,,100,Available,,2,171818,2853,315500,3768,1042,1,1,5,12,1.04,0,0,0,5,0,0,2,202.6,253.5,150,,"Sat Nov 4, 21:00",406,"Fri Dec 1, 18:15:03"
Martinez,Goalkeeper,Aston Villa,4.9,34,2.8,4,2.7,0.6,2.7,28.6,208,,,,100,Available,,7.2,406369,25521,493900,12613,1080,0,0,2,17,1.42,1,0,0,2,0,36,3,286,0,0,,"Fri Nov 24, 19:00",49,"Fri Dec 1, 18:15:02"
Ream,Defender,Fulham,4.5,34,2.8,0,1,0.2,0.5,26.4,188,,,,100,Available,,1.5,262296,1089,174117,7696,1053,1,0,3,20,1.71,0,0,0,2,1,0,4,203.6,15.8,45,,"Sat Aug 19, 18:00",281,"Fri Dec 1, 18:15:03"
Foster,Forward,Burnley,5,33,4.7,0,0,0,0,37.7,105,,,,25,Doubtful,Illness - 25% chance of playing,0.8,256123,334,216760,8304,609,3,2,1,19,2.81,0,0,0,0,1,0,4,168.2,79.5,130,,"Sat Oct 28, 20:00",168,"Fri Dec 1, 18:15:03"
Konsa,Defender,Aston Villa,4.5,33,2.5,2,1.3,0.3,1.3,35.5,217,,,,100,Available,,1.4,96614,3310,75841,2875,1170,0,1,2,18,1.38,0,0,0,2,0,0,2,222,39.8,91,,,48,"Fri Dec 1, 18:15:02"
Martinelli,Midfielder,Arsenal,7.8,33,3,2,2,0.3,2.5,75,139,,3,2,100,Available,,7.3,813905,23590,1483915,34727,799,1,2,3,8,0.9,0,0,0,1,0,0,0,163,301.8,288,,"Sun Nov 12, 02:00",12,"Fri Dec 1, 18:15:02"
Billing,Midfielder,Bournemouth,5.2,32,2.7,0,0.3,0.1,0.3,52.3,126,,1,,100,Available,,0.4,37531,580,76803,1895,955,1,1,1,25,2.36,0,0,0,3,0,0,3,195.2,183.6,146,,"Sun Nov 12, 02:30",63,"Fri Dec 1, 18:15:03"
Calvert-Lewin,Forward,Everton,5.8,32,3.2,2,2,0.3,1.5,41.9,96,1,,,75,Doubtful,Muscle injury - 75% chance of playing,1.6,281557,10325,220391,15639,654,3,0,3,11,1.51,0,0,0,0,0,0,3,128.2,59.7,240,,"Thu Nov 30, 23:30",246,"Fri Dec 1, 18:15:03"
De Cordova-Reid,Midfielder,Fulham,5.4,32,2.9,0,0.7,0.1,0.2,28.5,93,,,,100,Available,,0.1,21717,88,25877,438,608,2,1,1,15,2.22,0,0,0,1,0,0,2,101.8,56,132,,,270,"Fri Dec 1, 18:15:03"
Gilmour,Midfielder,Brighton,4.9,32,2.7,2,2,0.4,2,36.2,151,,,3,100,Available,,0.4,79155,821,55094,1828,690,0,3,2,14,1.83,0,0,0,2,0,0,4,108.8,196,58,,,133,"Fri Dec 1, 18:15:03"
J.Palhinha,Midfielder,Fulham,5,32,3.2,0,0.7,0.1,0.2,35.8,113,,,,100,Available,,0.3,61459,506,54977,2141,824,2,0,2,13,1.42,0,0,0,5,0,0,6,225.2,49.5,83,,"Mon Nov 13, 01:00",280,"Fri Dec 1, 18:15:03"
Lemina,Midfielder,Wolves,4.9,32,2.7,1,4.3,0.9,0,50.5,175,,,,0,Suspended,Suspended until 05 Dec,0.1,18260,486,11019,2924,1062,2,0,1,20,1.69,0,0,0,5,1,0,5,207.8,78.3,217,,"Thu Nov 23, 20:00",565,"Fri Dec 1, 18:15:03"
Pickford,Goalkeeper,Everton,4.4,32,2.5,1,1.7,0.4,1.7,29.4,193,,,,100,Available,,7.3,230408,10441,920003,12341,1170,0,0,2,20,1.54,1,0,0,2,0,31,2,254.6,40.1,0,,,263,"Fri Dec 1, 18:15:03"
Schlupp,Midfielder,Crystal Palace,4.9,32,2.7,2,4.3,0.9,4.3,42.3,90,,,,100,Available,,0.1,12806,626,17069,723,837,1,0,4,10,1.08,0,0,0,0,0,0,1,129.4,140.5,155,,"Sat Oct 7, 21:00",240,"Fri Dec 1, 18:15:03"
Semenyo,Forward,Bournemouth,4.6,32,3.2,5,2.7,0.6,2.7,36.8,95,,,,100,Available,,3.3,532803,25040,326638,7406,486,2,2,2,11,2.04,0,0,0,1,0,0,4,123.6,73,173,,"Sun Aug 6, 23:30",82,"Fri Dec 1, 18:15:03"
Harrison,Midfielder,Everton,5.5,31,4.4,2,3,0.5,3,33.6,89,,,,100,Available,,0.2,24725,2215,13609,1196,527,1,3,2,6,1.02,0,0,0,0,0,0,3,136.4,98.7,101,,"Thu Aug 24, 14:00",661,"Fri Dec 1, 18:15:03"
Havertz,Midfielder,Arsenal,7.1,31,2.4,6,2.7,0.4,3.2,44.6,86,3,,,100,Available,,1.6,46344,6395,352495,1487,722,2,1,3,6,0.75,0,0,0,4,0,0,0,133.2,131,182,,,6,"Fri Dec 1, 18:15:02"
Koleosho,Midfielder,Burnley,5,31,2.4,6,3.3,0.7,3.3,35.7,61,,,,100,Available,,0.1,34886,3367,26119,594,862,0,2,2,23,2.4,0,0,0,0,0,0,0,54.8,133.3,171,,,605,"Fri Dec 1, 18:15:03"
Mudryk,Midfielder,Chelsea,6.3,31,2.8,1,0.7,0.1,0.7,28.9,97,,,3,100,Available,,0.9,92903,1158,288538,3170,385,2,1,3,4,0.94,0,0,0,2,0,0,3,102.6,96.8,89,,"Sat Oct 28, 18:00",210,"Fri Dec 1, 18:15:03"
Ogbene,Forward,Luton,4.9,31,2.4,5,3,0.6,2.5,43.2,141,,,,100,Available,,0.2,16159,1801,16155,619,849,1,1,1,15,1.59,0,0,0,0,0,0,2,145.2,145,141,,"Tue Nov 21, 13:00",328,"Fri Dec 1, 18:15:03"
Tsimikas,Defender,Liverpool,4.7,31,5.2,2,6,1.3,6.5,22.5,113,,,4,100,Available,,13.5,1503023,154209,145737,9297,358,0,2,3,2,0.5,0,0,0,0,0,0,3,78,131.2,15,,,311,"Fri Dec 1, 18:15:03"
Ward,Defender,Crystal Palace,4.5,31,2.6,4,3.7,0.8,3.7,26.3,163,,,,100,Available,,0.3,28404,1683,24602,1130,1051,0,1,4,18,1.54,1,0,0,3,0,0,0,174.4,60.7,29,,"Fri Oct 6, 23:00",242,"Fri Dec 1, 18:15:03"
Wood,Forward,Nottm Forest,4.9,31,2.8,2,1,0.2,1,39.9,103,,,,100,Available,,0.8,109930,8229,97091,3151,308,3,0,1,6,1.75,0,0,0,0,0,0,5,130.2,80.1,189,,"Sun Oct 29, 22:00",468,"Fri Dec 1, 18:15:03"
Zouma,Defender,West Ham,4.5,31,2.6,2,1,0.2,1,35.3,177,,,,100,Available,,1.9,244468,3807,172045,5657,1080,1,0,1,20,1.67,0,0,0,1,0,0,4,241.2,15.9,96,,"Thu Nov 2, 11:00",544,"Fri Dec 1, 18:15:03"
Botman,Defender,Newcastle,4.5,30,6,0,0,0,0,19,127,,,,0,Injured,Knee injury - Unknown return date,6,1545141,180,2708106,33050,446,1,1,2,3,0.61,0,0,0,1,0,0,4,125.6,25.2,39,,"Thu Sep 28, 03:30",405,"Fri Dec 1, 18:15:03"
Brownhill,Midfielder,Burnley,4.7,30,2.5,2,3.7,0.8,3.7,44.8,153,,3,1,100,Available,,0.2,24191,3748,32375,1040,869,2,0,0,22,2.28,0,0,0,1,0,0,0,168.6,190.5,87,,,161,"Fri Dec 1, 18:15:03"
Janelt,Midfielder,Brentford,5.3,30,2.3,2,1.7,0.3,2.2,43,133,,,,100,Available,,0.1,4222,345,7234,137,1019,0,1,4,11,0.97,0,0,0,2,0,0,0,134.8,188.9,107,,,105,"Fri Dec 1, 18:15:03"
Kaminski,Goalkeeper,Luton,4.5,30,2.3,3,3,0.7,2.5,38.7,206,,,,100,Available,,0.3,35301,2139,27738,1309,1170,0,0,0,23,1.77,0,0,0,2,0,50,1,387.4,0,0,,,614,"Fri Dec 1, 18:15:03"
Lascelles,Defender,Newcastle,4.1,30,3.8,7,5.3,1.3,5.3,23.1,125,,,,100,Available,,6.7,768564,65336,134579,6643,641,1,0,3,7,0.98,0,0,0,3,0,0,3,153.4,27.7,50,,,419,"Fri Dec 1, 18:15:03"
Richarlison,Midfielder,Spurs,6.6,30,3,0,0,0,-0.2,48.3,49,2,,,25,Doubtful,Pelvic - 25% chance of playing,1,219731,57,519229,4153,535,1,3,3,4,0.67,0,0,0,2,0,0,0,130,97.8,255,,"Fri Nov 10, 14:00",509,"Fri Dec 1, 18:15:03"
Udogie,Defender,Spurs,4.8,30,2.7,1,-1,-0.2,-2,37.8,145,,,,100,Available,,10,2357929,8994,1664610,25404,872,0,2,3,14,1.44,0,0,0,3,1,0,4,174.4,110,94,,"Tue Nov 14, 11:30",519,"Fri Dec 1, 18:15:03"
Aina,Defender,Nottm Forest,4.5,29,2.9,1,6.3,1.4,6.3,21.5,139,,,,100,Available,,0.5,55458,10954,19918,2242,716,1,1,2,16,2.01,0,0,0,3,0,0,2,148.8,47.2,19,,"Mon Oct 2, 09:30",604,"Fri Dec 1, 18:15:03"
Eriksen,Midfielder,Man Utd,5.9,29,2.6,0,1.3,0.2,0,33.8,135,,4,3,0,Injured,Knee injury - Expected back 09 Dec,0.4,45236,31,71758,2042,603,1,1,1,12,1.79,0,0,0,0,0,0,4,148.4,129.7,59,,"Sun Nov 12, 02:00",379,"Fri Dec 1, 18:15:03"
Foderingham,Goalkeeper,Sheffield Utd,4.5,29,2.2,3,3.3,0.7,3.3,44.7,239,,,,100,Available,,0.3,25912,2469,29277,644,1170,0,0,0,34,2.62,1,0,0,1,0,65,4,446.2,0,0,,,482,"Fri Dec 1, 18:15:03"
Maguire,Defender,Man Utd,4.3,29,3.6,6,6.3,1.5,6.3,21.3,135,,,,100,Available,,2.7,284073,21030,77337,7882,566,0,1,3,7,1.11,0,0,0,0,0,0,2,158,35.9,18,,"Wed Sep 20, 09:00",387,"Fri Dec 1, 18:15:03"
Rúben,Defender,Man City,5.5,29,2.6,2,0.7,0.1,1.7,30.4,167,,,,100,Available,,7.2,523728,6846,596336,12751,915,0,0,3,11,1.08,1,0,0,0,0,0,1,173.8,53.1,76,,,350,"Fri Dec 1, 18:15:03"
Christie,Midfielder,Bournemouth,5,28,2.2,2,2.3,0.5,2.3,52.7,112,,,,100,Available,,0.1,11720,208,9853,370,962,0,1,2,23,2.15,0,0,0,0,0,0,0,147.2,205,173,,"Sun Aug 6, 23:30",65,"Fri Dec 1, 18:15:03"
Joelinton,Midfielder,Newcastle,5.8,28,2.8,6,5.7,1,5.7,39.9,106,3,,,100,Available,,0.6,42144,5191,100184,1780,728,1,1,2,9,1.11,0,0,0,2,0,0,3,142.4,152.4,104,,"Sat Sep 30, 23:00",416,"Fri Dec 1, 18:15:03"
Mangala,Midfielder,Nottm Forest,5,28,2.3,2,4,0.8,4,22.5,123,,,,100,Available,,0,2614,373,2689,165,1002,1,0,3,18,1.62,0,0,0,4,0,0,0,128.2,71.3,27,,"Sat Oct 7, 21:00",453,"Fri Dec 1, 18:15:03"
Toffolo,Defender,Nottm Forest,4.4,28,4,0,5.3,1.2,5.3,37.8,128,,,,100,Available,,0.2,18541,3993,7178,883,481,0,3,2,9,1.68,0,0,0,1,0,0,3,165.6,161.7,51,,"Sun Nov 5, 22:00",465,"Fri Dec 1, 18:15:03"
Gvardiol,Defender,Man City,4.9,27,3,0,0,0,1,29.6,155,,,,100,Available,,4,552013,1675,548554,24351,731,0,0,3,8,0.98,0,0,0,1,0,0,1,139.6,104.8,51,,,616,"Fri Dec 1, 18:15:03"
Norwood,Midfielder,Sheffield Utd,4.8,27,2.2,1,4.3,0.9,4.3,49.4,159,2,1,1,100,Available,,0.1,7294,938,5226,475,970,1,0,0,28,2.6,0,0,0,4,0,0,3,222,208.5,63,,"Sun Aug 6, 23:30",488,"Fri Dec 1, 18:15:03"
Tomiyasu,Defender,Arsenal,4.5,27,2.5,7,3.7,0.8,4.2,17.3,101,,,,100,Available,,0.6,52933,12070,28016,1325,505,1,0,2,4,0.71,0,0,0,0,1,0,1,89.8,32.2,53,,"Tue Aug 22, 00:00",25,"Fri Dec 1, 18:15:02"
Turner,Goalkeeper,Nottm Forest,4.1,27,2.7,0,0,0,0,20.2,176,,,,100,Available,,15.9,922484,9627,627106,40822,900,0,0,2,15,1.5,0,0,0,1,0,32,0,202.4,0,0,,,28,"Fri Dec 1, 18:15:03"
Adebayo,Forward,Luton,4.8,26,2,0,0.7,0.1,0.2,25.7,68,2,,,100,Available,,0.6,51962,813,96980,2818,394,2,0,0,9,2.06,0,0,0,1,0,0,2,87.4,69.1,100,,,314,"Fri Dec 1, 18:15:03"
Amdouni,Forward,Burnley,5.3,26,2.2,2,2,0.4,2,39.8,69,,,,100,Available,,0.2,55529,1888,52410,1513,812,1,0,2,18,2,0,0,0,1,0,0,2,112.4,75.8,210,,,594,"Fri Dec 1, 18:15:03"
Robertson,Defender,Liverpool,6.4,26,3.2,0,0,0,0,52.7,167,,,1,0,Injured,Shoulder injury - Expected back 21 Jan,2.5,467045,118,696327,5598,720,1,0,1,9,1.12,0,0,0,1,0,0,3,196.2,284.3,46,,"Fri Oct 13, 09:30",307,"Fri Dec 1, 18:15:03"
Wilson,Midfielder,Fulham,5.3,26,2,4,2.3,0.4,1.8,29.8,87,3,1,,100,Available,,0.1,17245,181,26309,354,694,0,2,3,11,1.43,0,0,0,2,0,0,0,65.8,140,94,,,288,"Fri Dec 1, 18:15:03"
Aurier,Defender,Nottm Forest,4.5,25,2.3,0,0.7,0.2,0.7,27.7,118,,,,100,Available,,1.3,253739,2251,200065,4586,741,0,2,1,14,1.7,0,0,0,2,0,0,3,160.6,77.2,39,,"Sat Oct 7, 21:00",436,"Fri Dec 1, 18:15:03"
Berge,Midfielder,Burnley,4.8,25,1.9,2,2,0.4,2,33.5,119,,,,100,Available,,0.1,8699,331,15796,330,877,0,1,0,25,2.57,0,0,0,2,0,0,2,151.8,115.6,66,,,475,"Fri Dec 1, 18:15:03"
Bogle,Defender,Sheffield Utd,4.5,25,2.5,0,2,0.4,2,20.7,88,,,,100,Available,,0.1,14422,1418,10689,504,702,1,2,1,18,2.31,0,0,0,2,0,0,0,86,43,78,,"Fri Aug 4, 11:00",476,"Fri Dec 1, 18:15:03"
Brown,Forward,Luton,4.9,25,2.1,7,2.7,0.6,2.2,32.2,64,,,,100,Available,,0.1,22281,912,20787,430,582,1,1,0,14,2.16,0,0,0,2,0,0,2,82,73.7,176,,,631,"Fri Dec 1, 18:15:03"
Castagne,Defender,Fulham,4.5,25,2.5,1,1.3,0.3,0.8,32.1,144,,,,100,Available,,0.5,104305,773,59245,2849,827,0,0,2,13,1.41,0,0,0,1,0,0,3,145.2,110.6,65,,,688,"Fri Dec 1, 18:15:03"
Dominguez,Midfielder,Nottm Forest,5,25,3.1,2,2,0.4,2,26.6,92,,,,100,Available,,0,6015,163,3652,237,603,1,0,3,9,1.34,0,0,0,1,0,0,3,121,37.3,107,,"Sun Oct 1, 19:30",712,"Fri Dec 1, 18:15:03"
Doughty,Defender,Luton,4.4,25,1.9,2,2,0.5,1.5,62.4,143,,2,1,100,Available,,0.2,32508,1503,26779,870,880,0,1,0,18,1.84,0,0,0,1,0,0,4,165.4,392.4,67,,"Sun Nov 12, 02:00",321,"Fri Dec 1, 18:15:03"
Enzo,Midfielder,Chelsea,4.8,25,2.1,2,2.7,0.6,2.7,58.7,130,4,1,4,100,Available,,2.6,265614,3431,442284,5757,987,0,1,4,16,1.46,0,0,1,3,0,0,0,164.4,267.8,156,,"Sat Oct 28, 18:00",199,"Fri Dec 1, 18:15:03"
Estupiñan,Defender,Brighton,5,25,4.2,0,0,0,0,45,112,,,,0,Injured,Muscle injury - Unknown return date,16.6,1857350,225,5324347,97706,495,1,3,0,10,1.82,1,0,0,2,0,0,5,162.8,177.9,110,,"Fri Nov 10, 02:00",131,"Fri Dec 1, 18:15:03"
Gakpo,Forward,Liverpool,7.2,25,2.3,1,1.3,0.2,1.8,31.2,84,,,,100,Available,,2.2,149416,4019,575026,5066,473,2,0,1,6,1.14,0,0,0,0,0,0,3,103.2,54,158,,"Sun Oct 1, 02:00",297,"Fri Dec 1, 18:15:03"
Johnson,Midfielder,Spurs,5.8,25,2.5,2,4,0.7,3,32.6,61,,,,100,Available,,0.5,52811,1918,69573,3255,542,1,1,1,10,1.66,0,0,0,1,0,0,1,88.4,76.5,162,,"Sun Sep 24, 22:30",450,"Fri Dec 1, 18:15:03"
Garnacho,Midfielder,Man Utd,4.7,24,2.2,8,4.3,0.9,4.3,40.8,62,,,,100,Available,,1.6,141572,38414,243620,2186,470,1,0,4,4,0.77,0,0,0,1,0,0,0,76.6,124.5,209,,,382,"Fri Dec 1, 18:15:03"
Gusto,Defender,Chelsea,4.1,24,2.7,0,0.3,0.1,0,20.4,120,,,,0,Injured,Knee injury - Unknown return date,5.9,1746751,1758,1345294,39183,538,0,2,2,7,1.17,0,0,0,1,1,0,2,99.4,72.5,32,,"Tue Nov 14, 11:30",203,"Fri Dec 1, 18:15:03"
J.Murphy,Midfielder,Newcastle,4.8,24,4.8,0,0.3,0.1,0,19.5,85,,,,0,Injured,Shoulder injury - Expected back 13 Jan,0.1,29730,17,41600,1187,119,1,3,1,1,0.76,0,0,0,0,0,0,3,103.4,54.3,39,,"Wed Oct 25, 22:30",423,"Fri Dec 1, 18:15:03"
Kamara,Midfielder,Aston Villa,5,24,1.8,1,1.3,0.3,0,37.7,162,,,,0,Suspended,Suspended until 06 Dec,0.1,12197,250,13787,936,1101,0,0,3,17,1.39,0,0,0,5,0,0,1,155.4,195.7,24,,"Sun Nov 26, 22:00",47,"Fri Dec 1, 18:15:02"
Lerma,Midfielder,Crystal Palace,4.7,24,2.7,1,3.7,0.8,3.7,41.3,120,,,,100,Available,,0.1,9098,523,31412,616,794,0,1,2,15,1.7,0,0,0,2,0,0,3,139.2,164.4,110,,"Fri Sep 15, 15:30",231,"Fri Dec 1, 18:15:03"
Robinson,Defender,Fulham,4.4,24,2,4,2.3,0.5,1.8,42.2,191,,,,100,Available,,0.6,44498,1045,57090,1081,1080,0,2,2,22,1.83,2,0,0,4,0,0,2,225.2,164.2,32,,"Sat Sep 16, 20:00",283,"Fri Dec 1, 18:15:03"
Trafford,Goalkeeper,Burnley,4.5,24,1.8,1,1.3,0.3,1.3,38.7,237,,,,100,Available,,0.9,40483,3823,56361,1936,1170,0,0,0,32,2.46,0,0,0,1,0,44,0,386,0.1,0,,,596,"Fri Dec 1, 18:15:03"
Wan-Bissaka,Defender,Man Utd,4.4,24,3.4,1,3,0.7,3,20.9,121,,,,100,Available,,2.5,551659,3002,610448,10186,444,0,1,2,6,1.22,0,0,0,2,0,0,5,131,62.6,14,,"Mon Sep 18, 12:30",401,"Fri Dec 1, 18:15:03"
Aarons,Defender,Bournemouth,4.5,23,1.9,0,2.7,0.6,0,26.5,161,,,,0,Injured,Hamstring injury - Unknown return date,0.2,28168,54,25818,1466,949,0,1,2,24,2.28,0,0,0,1,0,0,0,149.4,95,20,,"Sun Nov 12, 02:00",643,"Fri Dec 1, 18:15:03"
Branthwaite,Defender,Everton,4.1,23,2.1,1,1,0.2,1,29,164,,,,100,Available,,2.4,284755,7579,80514,4814,990,0,0,2,15,1.36,0,0,0,4,0,0,2,220.4,30.1,40,,"Thu Nov 9, 16:30",245,"Fri Dec 1, 18:15:03"
