Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing Select value x,Availability Select value x,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
Jensen,Midfielder,Brentford,5.4,58,4.8,0,2.3,0.4,0,64.9,217,,3,2,0,Injured,Thigh injury - Expected back 09 Dec,2.4,440852,8204,294082,32039,905,3,3,5,13,1.29,0,0,0,2,0,0,8,259.4,306.7,85,,"Mon Nov 27, 21:30",106,"Fri Dec 1, 18:15:03"
Solanke,Forward,Bournemouth,6.5,58,4.5,2,5.7,0.9,5.7,89,163,1,,,100,Available,,5.7,697979,35892,420441,48737,1158,6,1,2,26,2.02,0,0,0,1,0,0,6,278.2,165.7,445,,"Thu Sep 28, 03:30",85,"Fri Dec 1, 18:15:03"
Foden,Midfielder,Man City,7.5,57,4.4,2,3.3,0.4,4.3,99.3,238,,,3,100,Available,,9.8,1474507,26199,1427972,39261,1010,3,3,4,12,1.07,0,0,0,1,0,0,6,285.6,366.5,339,,,353,"Fri Dec 1, 18:15:03"
Ward-Prowse,Midfielder,West Ham,6.2,56,4.7,2,5,0.8,5,91.8,284,,1,1,100,Available,,11.3,2120446,29369,1096526,57200,1052,2,5,1,22,1.88,0,0,0,1,0,0,7,338.6,446.2,133,,,664,"Fri Dec 1, 18:15:03"
Darwin,Forward,Liverpool,7.6,55,4.6,1,2.7,0.4,3.2,78,165,3,,,100,Available,,17.5,2049340,123844,1711406,62510,680,4,6,3,5,0.66,0,0,0,2,0,0,4,250.2,115.4,413,,,293,"Fri Dec 1, 18:15:03"
White,Defender,Arsenal,5.7,54,4.5,1,1,0.2,1.5,48.2,239,,,,100,Available,,12.7,1211142,15046,924341,49586,948,1,1,5,9,0.85,0,0,0,2,0,0,7,229,176.2,77,,"Sun Nov 12, 02:00",29,"Fri Dec 1, 18:15:02"
A.Doucoure,Midfielder,Everton,5.5,53,4.1,1,4.3,0.8,4.3,88,178,,,,100,Available,,0.9,172942,9984,121114,5117,1127,4,2,2,20,1.6,0,0,0,4,0,0,4,241.6,251.9,384,,"Thu Nov 9, 16:30",249,"Fri Dec 1, 18:15:03"
Mitoma,Midfielder,Brighton,6.5,53,4.4,0,2.3,0.4,2.3,86.9,173,,,,100,Available,,24,2655365,5463,4025272,352846,980,3,4,0,20,1.84,0,0,0,3,0,0,7,239.2,255,373,,"Thu Nov 16, 15:00",143,"Fri Dec 1, 18:15:03"
Zinchenko,Defender,Arsenal,5.1,53,4.4,9,6.7,1.3,7.2,46.4,223,,,,100,Available,,9.8,763509,190542,480569,6762,753,1,0,5,6,0.72,0,0,0,1,0,0,9,182.4,203.7,79,,,31,"Fri Dec 1, 18:15:02"
Isak,Forward,Newcastle,7.4,52,5.8,8,2.7,0.4,2.7,60.6,198,2,,,100,Available,,12.9,1981724,180309,2817020,7234,571,7,0,2,7,1.1,0,0,0,0,0,0,8,253.6,58,295,,"Wed Oct 25, 22:30",415,"Fri Dec 1, 18:15:03"
McGinn,Midfielder,Aston Villa,5.5,52,4,1,4.3,0.8,4.3,68.7,211,,,2,100,Available,,0.8,93781,5054,69661,3146,1107,3,2,2,16,1.3,0,0,0,3,0,0,6,244.2,299.2,142,,"Mon Nov 20, 10:00",50,"Fri Dec 1, 18:15:02"
Neto,Midfielder,Wolves,5.6,52,5.2,0,0,0,0,84,206,,3,1,0,Injured,Hamstring injury - Expected back 09 Dec,2.3,1319747,1425,1152269,25656,886,1,8,1,17,1.73,0,0,0,3,0,0,5,248,388.1,207,,"Sat Oct 28, 19:30",567,"Fri Dec 1, 18:15:03"
Onana,Goalkeeper,Man Utd,4.8,52,4,9,7.7,1.6,7.7,39.4,266,,,,100,Available,,14.8,606462,51246,1870500,20182,1170,0,0,5,16,1.23,0,0,0,3,0,51,3,393,0.2,0,,"Sun Nov 19, 22:30",597,"Fri Dec 1, 18:15:03"
Szoboszlai,Midfielder,Liverpool,7.1,52,4,2,2.7,0.4,3.2,79.4,243,,2,2,100,Available,,6.5,716390,32669,519395,26602,1127,1,4,5,10,0.8,0,0,0,1,0,0,5,222.4,428.4,143,,,309,"Fri Dec 1, 18:15:03"
Johnstone,Goalkeeper,Crystal Palace,4.7,51,3.9,1,3.7,0.8,3.7,22.2,222,,,,100,Available,,6.2,647148,15002,237010,29088,1170,0,0,5,18,1.38,0,0,0,0,0,30,7,221.2,0,0,,,230,"Fri Dec 1, 18:15:03"
Mitchell,Defender,Crystal Palace,4.7,51,3.9,1,5.7,1.2,5.7,41.8,240,,,,100,Available,,7.8,893165,25899,165779,40393,1149,1,1,5,18,1.41,0,0,0,2,0,0,5,251.6,122.9,44,,"Sat Oct 28, 08:30",234,"Fri Dec 1, 18:15:03"
Nketiah,Forward,Arsenal,5.7,51,3.9,1,1.3,0.2,1.8,55.9,162,,,,100,Available,,9.4,1471592,23905,942338,112007,790,5,2,6,5,0.57,0,0,0,2,0,0,5,182.4,95.3,289,,"Thu Nov 9, 08:30",13,"Fri Dec 1, 18:15:02"
Ødegaard,Midfielder,Arsenal,8.3,51,5.1,3,1,0.1,1.5,69.4,171,2,1,3,100,Available,,13.3,1109372,28045,2200292,20182,879,3,2,5,7,0.72,0,0,0,1,0,0,6,222.8,262.6,209,,"Sat Nov 4, 21:00",14,"Fri Dec 1, 18:15:02"
Bernardo,Midfielder,Man City,6.4,50,5,1,7.3,1.1,8.3,73.4,232,,,,100,Available,,3.1,318991,28901,480905,19060,818,3,3,2,10,1.1,0,0,0,3,0,0,8,280,297.7,155,,"Wed Sep 20, 09:00",344,"Fri Dec 1, 18:15:03"
Dalot,Defender,Man Utd,5,50,4.2,12,8,1.6,8,57.2,244,,,,100,Available,,4.2,450641,47637,238553,14109,1014,1,1,4,15,1.33,0,0,0,2,0,0,8,254,251.6,66,,,377,"Fri Dec 1, 18:15:03"
Gross,Midfielder,Brighton,6.3,50,4.5,9,4.7,0.7,4.7,85.3,219,2,4,1,100,Available,,1.8,206008,15566,423099,4217,978,2,3,1,15,1.38,0,0,0,1,0,0,9,290,426.4,137,,"Fri Sep 22, 14:00",134,"Fri Dec 1, 18:15:03"
Leno,Goalkeeper,Fulham,4.7,50,3.8,2,2.3,0.5,1.8,42.3,280,,,,100,Available,,14.4,1156691,7332,591095,26835,1170,0,0,3,22,1.69,0,0,0,0,0,51,8,423.6,0,0,,,275,"Fri Dec 1, 18:15:03"
Morris,Forward,Luton,5.3,50,3.8,5,3,0.6,2.5,59.4,132,1,,,100,Available,,3.4,1047575,11216,854391,16380,1083,3,2,2,21,1.75,0,0,0,1,0,0,7,166.8,119.9,310,,,326,"Fri Dec 1, 18:15:03"
Pedro Porro,Defender,Spurs,5.3,50,4.2,5,3.3,0.6,2.3,65.6,283,,1,2,100,Available,,13.3,1656855,33290,591336,37872,1077,0,4,4,15,1.25,0,0,0,1,0,0,5,274.8,288.9,92,,,506,"Fri Dec 1, 18:15:03"
Pope,Goalkeeper,Newcastle,5.5,50,3.8,3,4.3,0.8,4.3,29.2,248,,,,100,Available,,11.9,509282,36419,494535,17206,1170,0,0,5,14,1.08,0,0,0,0,0,39,1,288.2,0,4,,,424,"Fri Dec 1, 18:15:03"
Wissa,Forward,Brentford,5.9,50,3.8,2,2,0.3,2.5,66,166,,,,100,Available,,8.8,1867295,59600,1638291,27912,1063,3,2,5,14,1.19,0,0,0,1,0,0,7,183,148.3,336,,,119,"Fri Dec 1, 18:15:03"
Palmer,Midfielder,Chelsea,5.3,49,4.5,2,6.7,1.3,6.7,65.7,179,1,1,2,100,Available,,12.7,1454454,143624,189245,33387,676,4,3,1,13,1.73,0,0,0,3,0,0,4,242.8,228.2,188,,"Sun Oct 8, 10:00",362,"Fri Dec 1, 18:15:03"
Rice,Midfielder,Arsenal,5.4,49,3.8,3,2.3,0.4,2.8,55.3,231,,,,100,Available,,5.4,357525,13337,477865,15600,1113,2,1,6,9,0.73,0,0,0,0,0,0,5,281.2,170.2,101,,"Sun Sep 24, 22:30",540,"Fri Dec 1, 18:15:02"
Vicario,Goalkeeper,Spurs,5.2,49,3.8,2,1.3,0.2,0.3,34.8,265,,,,100,Available,,7.9,980189,8503,393391,34631,1170,0,0,4,17,1.31,0,0,0,2,0,42,5,348,0,0,,,520,"Fri Dec 1, 18:15:03"
Doku,Midfielder,Man City,6.7,48,4.8,5,9,1.3,10,80.5,208,,,,100,Available,,8.9,1181745,150892,309832,27009,642,2,5,0,10,1.4,0,0,0,2,0,0,9,273.6,254.2,276,,,678,"Fri Dec 1, 18:15:03"
Edouard,Forward,Crystal Palace,5.5,48,4,2,3,0.5,3,81.3,165,3,3,,100,Available,,4.3,887472,9503,675696,35061,1022,5,0,4,13,1.14,0,0,0,2,0,0,6,240.4,137.5,433,,"Sun Sep 24, 18:00",225,"Fri Dec 1, 18:15:03"
Kulusevski,Midfielder,Spurs,7,48,3.7,2,3.7,0.5,2.7,100.4,174,,,3,100,Available,,2,305580,5626,270319,13709,1131,3,0,5,12,0.95,0,0,0,1,0,0,3,239.2,373.2,391,,,501,"Fri Dec 1, 18:15:03"
Sou?ek,Midfielder,West Ham,4.9,48,4,8,5.3,1.1,5.3,64.8,162,,,,100,Available,,1.7,221202,30087,165588,4009,895,4,1,1,17,1.71,0,0,0,2,0,0,4,288.8,82.8,277,,"Sat Aug 26, 19:30",542,"Fri Dec 1, 18:15:03"
Gallagher,Midfielder,Chelsea,5.4,47,3.6,2,6,1.1,6,67.6,228,,,1,100,Available,,0.6,66481,4042,59521,3498,1103,0,5,3,18,1.47,0,0,0,1,0,0,4,248.4,302.3,125,,,202,"Fri Dec 1, 18:15:03"
Rodrigo,Midfielder,Man City,5.6,47,4.3,2,4.7,0.8,5.7,71,229,,,,100,Available,,6,1201289,10128,1174041,13330,910,3,3,4,9,0.89,0,0,0,4,1,0,5,312,222.8,175,,"Sat Sep 23, 21:30",365,"Fri Dec 1, 18:15:03"
Willian,Midfielder,Fulham,5.3,47,3.9,15,6.7,1.3,6.2,62.2,163,1,2,2,100,Available,,0.4,51491,5230,73070,1683,865,3,1,3,13,1.35,0,0,0,1,0,0,6,183.8,237.6,202,,"Thu Aug 24, 23:00",591,"Fri Dec 1, 18:15:03"
Alexander-Arnold,Defender,Liverpool,7.9,46,4.2,8,5.7,0.7,6.2,59.4,217,,1,3,100,Available,,9,451396,58285,1321289,6843,868,1,1,4,8,0.83,0,0,0,3,0,0,4,194.8,312,87,,"Mon Sep 4, 05:00",290,"Fri Dec 1, 18:15:03"
Cunha,Forward,Wolves,5.5,46,3.5,7,4.7,0.9,4.2,75,160,2,,,100,Available,,1.3,217249,15389,133710,8073,1063,3,2,1,20,1.69,0,0,0,1,0,0,3,251.8,164.5,333,,"Fri Aug 11, 13:30",590,"Fri Dec 1, 18:15:03"
Elanga,Midfielder,Nottm Forest,5,46,3.5,7,5.3,1.1,5.3,59.2,157,,,,100,Available,,1.2,169157,45179,116982,2297,740,3,3,1,12,1.46,0,0,0,1,0,0,2,221.8,137,232,,"Thu Nov 16, 15:00",378,"Fri Dec 1, 18:15:03"
Ferguson,Forward,Brighton,6.1,46,3.8,5,2.3,0.4,2.3,54.1,169,,,,100,Available,,8.3,1136673,32952,980362,27816,653,6,0,1,15,2.07,0,0,0,1,0,0,5,239.6,62.2,239,,"Mon Nov 13, 01:00",132,"Fri Dec 1, 18:15:03"
Pau,Defender,Aston Villa,4.6,46,3.5,8,3.7,0.8,3.7,40.6,225,,,,100,Available,,4.3,381258,42964,210361,5072,1139,2,0,2,16,1.26,0,0,0,0,0,0,4,253.8,71.4,80,,,584,"Fri Dec 1, 18:15:02"
Schär,Defender,Newcastle,5.2,46,3.5,2,2.7,0.5,2.7,35.7,253,,2,,100,Available,,7.6,954668,20441,451201,24366,1170,0,1,5,14,1.08,0,0,0,2,0,0,4,235.6,41.8,78,,"Fri Nov 3, 13:00",427,"Fri Dec 1, 18:15:03"
Wilson,Forward,Newcastle,7.8,46,4.6,0,0.7,0.1,0.2,59.5,173,1,,,25,Doubtful,Hamstring injury - 25% chance of playing,4,554982,440,1039790,57592,479,7,0,4,7,1.32,0,0,0,1,0,0,4,253,27.6,319,,"Wed Nov 8, 09:00",433,"Fri Dec 1, 18:15:03"
Cash,Defender,Aston Villa,5,45,3.5,0,0.7,0.1,0.7,60.6,201,,,,100,Available,,29.2,3450593,19684,1326038,151918,1068,2,1,3,16,1.35,1,0,0,4,0,0,4,245.4,92.7,268,,"Wed Nov 22, 11:00",36,"Fri Dec 1, 18:15:02"
Gibbs-White,Midfielder,Nottm Forest,5.7,45,3.5,12,6.7,1.2,6.7,82.3,194,1,1,1,100,Available,,1.6,151472,41121,229632,2122,1101,1,4,3,20,1.63,0,0,0,3,0,0,3,215.2,406.1,201,,,447,"Fri Dec 1, 18:15:03"
Walker,Defender,Man City,5.3,45,3.5,2,1.3,0.2,2.3,43.5,246,,,,100,Available,,16.3,1872103,24401,830094,37842,1170,0,1,4,13,1,0,0,0,1,0,0,4,156.2,231.7,47,,,369,"Fri Dec 1, 18:15:03"
Diogo J.,Midfielder,Liverpool,7.7,44,3.7,1,4,0.5,0,65.5,131,,,,0,Injured,Muscle injury - Unknown return date,1.7,322258,2012,465394,39009,632,4,2,3,5,0.71,0,0,0,1,1,0,2,186.6,154.6,315,,"Sat Nov 25, 19:00",294,"Fri Dec 1, 18:15:03"
