Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing,Availability,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
Beach,Goalkeeper,Chelsea,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1252,29,897,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,680,"Tue Dec 19, 16:15:01"
Bech,Defender,Brentford,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Transferred to Midtjylland,0.1,2309,0,14930,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 21:46",93,"Tue Dec 19, 16:15:01"
Benda,Goalkeeper,Fulham,4,0,0,0,0,0,0.5,0,0,,,,100,Available,,0,2484,61,1273,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,692,"Tue Dec 19, 16:15:01"
Bergström,Goalkeeper,Chelsea,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1710,12,1460,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,659,"Tue Dec 19, 16:15:01"
Bettinelli,Goalkeeper,Chelsea,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1515,49,2056,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 3, 10:30",192,"Tue Dec 19, 16:15:01"
Biancone,Defender,Nottm Forest,3.9,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Olympiacos,0.1,1479,0,8793,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Sep 18, 10:34",438,"Tue Dec 19, 16:15:01"
Bidstrup,Midfielder,Brentford,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Transfer to Red Bull Salzburg on a permanent basis,0,0,0,132,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Jul 19, 08:50",94,"Tue Dec 19, 16:15:01"
Bolla,Defender,Wolves,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Servette,0.4,11202,0,54531,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sat Sep 2, 08:44",547,"Tue Dec 19, 16:15:02"
Bowler,Midfielder,Nottm Forest,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Cardiff City,0,0,0,337,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 4, 09:38",440,"Tue Dec 19, 16:15:01"
Bradley,Defender,Liverpool,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,163,25,50,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,757,"Tue Dec 19, 16:15:01"
Brierley,Midfielder,Brentford,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,1634,11,1177,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,684,"Tue Dec 19, 16:15:01"
Brooking,Defender,Chelsea,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1363,34,878,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,723,"Tue Dec 19, 16:15:01"
Buendia,Midfielder,Aston Villa,5.7,0,0,0,0,0,0,0,0,,,,0,Injured,Knee injury - Expected back 10 Feb,0,643,17,16935,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 10, 11:00",35,"Tue Dec 19, 16:15:01"
