Name,Position,Team,Current Price,Total Points,Points Per Game,Event Points,Form,Value Form,EP Next,ICT Index,BPS,Penalties Order,Direct Freekick Order,Corners/ Indirect Order,Chance Of Playing,Availability,News,Selected By Percent,Transfers In,Transfers In Event,Transfers Out,Transfers Out Event,Minutes,Goals Scored,Assists,Clean Sheets,Goals Conceded,Goals Conceded per 90,Own Goals,Penalties Saved,Penalties Missed,Yellow Cards,Red Cards,Saves,Bonus,Influence,Creativity,Threat,In Dreamteam,News Added,ID,Fetched From FPL (London time)
González,Midfielder,Wolves,5,0,0,0,0,0,0,0,0,,,,100,Available,,0,1400,24,1261,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,698,"Tue Dec 19, 16:15:02"
Goode,Defender,Brentford,3.9,0,0,0,0,0,0,0,0,,,,100,Available,,0.2,18866,296,14594,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,102,"Tue Dec 19, 16:15:01"
Gordon,Forward,Crystal Palace,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Cambridge United,0,7045,0,9145,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 14:48",658,"Tue Dec 19, 16:15:01"
Gore,Midfielder,Man Utd,4.5,0,0,0,0,0,0.5,0,0,,,,100,Available,,0,689,8,539,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,685,"Tue Dec 19, 16:15:01"
Gray,Midfielder,Everton,5.3,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Al-Ettifaq,0.1,1890,0,30700,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 8, 08:19",253,"Tue Dec 19, 16:15:01"
Greenwood,Defender,Bournemouth,4,0,0,0,0,0,0,0,0,,,,100,Available,,0.2,13072,160,13682,307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,619,"Tue Dec 19, 16:15:01"
Guaita,Goalkeeper,Crystal Palace,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Signed for Celta Vigo,0.2,2528,0,68674,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sat Sep 2, 08:56",227,"Tue Dec 19, 16:15:01"
Guedes,Midfielder,Wolves,5.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Benfica,0,1001,0,7640,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 31, 08:54",554,"Tue Dec 19, 16:15:02"
Hause,Defender,Aston Villa,3.9,0,0,0,0,0,0.5,0,0,,,,100,Available,,0.2,11054,141,16174,318,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,45,"Tue Dec 19, 16:15:01"
Hayden,Midfielder,Newcastle,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Joined Standard Liège on a season-long loan deal,0,851,0,4645,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 8, 08:20",413,"Tue Dec 19, 16:15:01"
Heaton,Goalkeeper,Man Utd,4,0,0,0,0,0,0.5,0,0,,,,100,Available,,0.1,2282,33,8053,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 11, 13:00",384,"Tue Dec 19, 16:15:01"
Hein,Goalkeeper,Arsenal,4,0,0,0,0,0,0,0,0,,,,100,Available,,0.1,4215,42,3408,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,646,"Tue Dec 19, 16:15:01"
Henderson,Midfielder,Liverpool,5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Al-Ettifaq,0,0,0,802,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Jul 28, 08:28",299,"Tue Dec 19, 16:15:01"
Hendrick,Midfielder,Newcastle,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Sheffield Wednesday,0,716,0,4869,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sat Sep 2, 08:49",414,"Tue Dec 19, 16:15:01"
Hennessey,Goalkeeper,Nottm Forest,4,0,0,0,0,0,0,0,0,,,,100,Available,,0.2,4103,60,14644,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Aug 6, 23:30",448,"Tue Dec 19, 16:15:01"
Hodge,Midfielder,Wolves,4.4,0,0,0,0,0,0,0,0,,,,0,Injured,Shoulder injury - Expected back 22 Jan,0.1,3986,2,9324,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Oct 27, 13:30",555,"Tue Dec 19, 16:15:02"
Hoever,Defender,Wolves,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Stoke City,0,0,0,4856,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Jul 24, 09:58",556,"Tue Dec 19, 16:15:02"
Holding,Defender,Crystal Palace,4.3,0,0,0,0,0,0,0,0,,,,0,Injured,Ankle injury - Expected back 20 Jan,0.1,5310,10,14363,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Dec 1, 17:00",7,"Tue Dec 19, 16:15:01"
Holgate,Defender,Everton,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Southampton,0.4,4656,0,131556,450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Aug 28, 07:56",255,"Tue Dec 19, 16:15:01"
Horvath,Goalkeeper,Nottm Forest,4.3,0,0,0,0,0,0,0,0,,,,100,Available,,0.1,2296,28,8171,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,449,"Tue Dec 19, 16:15:01"
Hubner,Defender,Wolves,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1336,108,405,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,751,"Tue Dec 19, 16:15:02"
Hugill,Forward,Man Utd,4.5,0,0,0,0,0,0.5,0,0,,,,100,Available,,0,855,83,408,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,748,"Tue Dec 19, 16:15:01"
Humphreys,Defender,Chelsea,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Swansea City,0,629,0,960,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Sep 3, 20:06",671,"Tue Dec 19, 16:15:01"
Hunt,Midfielder,Everton,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,866,9,595,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,719,"Tue Dec 19, 16:15:01"
I.Cavaleiro,Midfielder,Fulham,5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Lille,0,0,0,998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 11, 10:50",269,"Tue Dec 19, 16:15:01"
Ibrahim,Midfielder,Arsenal,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,390,16,234,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,737,"Tue Dec 19, 16:15:01"
Iroegbunam,Midfielder,Aston Villa,4.4,0,0,0,0,0,0.5,0,0,,,,100,Available,,0,1357,20,3478,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 10, 15:00",46,"Tue Dec 19, 16:15:01"
J.Lewis,Defender,Newcastle,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Joined Watford on a season long loan,0,0,0,839,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Jul 28, 08:26",420,"Tue Dec 19, 16:15:01"
J.Shelvey,Midfielder,Nottm Forest,4.8,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Çaykur Rizespor,0,290,0,2789,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Sep 18, 10:37",463,"Tue Dec 19, 16:15:01"
J.Timber,Defender,Arsenal,4.6,0,0,0,0,0,0,0.6,3,,,,0,Injured,Knee injury - Unknown return date,0.5,11971,18,477844,165,49,0,0,0,0,0,0,0,0,1,0,0,0,3.6,2.4,0,,"Sat Aug 12, 18:00",585,"Tue Dec 19, 16:15:01"
J.Virginia,Goalkeeper,Everton,3.9,0,0,0,0,0,0,0,0,,,,100,Available,,0.6,49081,55,49976,564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,266,"Tue Dec 19, 16:15:01"
Jackson,Defender,Brighton,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,1543,76,572,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,746,"Tue Dec 19, 16:15:01"
Jebbison,Forward,Sheffield Utd,4.8,0,0,0,0,0,0,0,0,,,,0,Injured,Illness - Unknown return date,0,1305,36,2266,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Aug 6, 23:30",483,"Tue Dec 19, 16:15:01"
Johnson,Defender,Luton,4,0,0,0,0,0,-1,0,0,,,,100,Available,,0,4064,44,2689,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,682,"Tue Dec 19, 16:15:01"
Johnson,Defender,West Ham,4.4,0,0,0,0,0,-0.5,0,0,,,,100,Available,,0.1,2278,42,5870,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Oct 5, 08:30",536,"Tue Dec 19, 16:15:02"
Jordão,Midfielder,Wolves,4.3,0,0,0,0,0,0,0,0,,,,100,Available,,0.2,13074,706,19217,507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,561,"Tue Dec 19, 16:15:02"
Kambwala,Defender,Man Utd,4,0,0,0,0,0,1.7,0,0,,,,100,Available,,0,6,6,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,766,"Tue Dec 19, 16:15:01"
Kane,Forward,Spurs,12.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Transferred to Bayern Munich,0.6,565,0,320341,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sat Aug 12, 09:23",500,"Tue Dec 19, 16:15:02"
Karbownik,Defender,Brighton,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Hertha BSC,0,0,0,2299,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Aug 9, 08:35",136,"Tue Dec 19, 16:15:01"
Karius,Goalkeeper,Newcastle,3.9,0,0,0,0,0,1,0,0,,,,100,Available,,0.3,11742,190,13281,365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,580,"Tue Dec 19, 16:15:01"
Kavanagh,Defender,Brighton,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,277,23,125,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,753,"Tue Dec 19, 16:15:01"
Kellyman,Midfielder,Aston Villa,4.5,0,0,0,0,0,0.5,0,0,,,,100,Available,,0.1,6631,42,6784,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,618,"Tue Dec 19, 16:15:01"
Kilkenny,Midfielder,Bournemouth,4.3,0,0,0,0,0,0,0,0,,,,100,Available,,0.1,6271,529,7778,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,71,"Tue Dec 19, 16:15:01"
Kim Ji-Soo,Defender,Brentford,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,2793,48,1509,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,725,"Tue Dec 19, 16:15:01"
King,Goalkeeper,Wolves,3.9,0,0,0,0,0,0,0,0,,,,100,Available,,0.7,16043,874,30785,425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,564,"Tue Dec 19, 16:15:02"
Knockaert,Midfielder,Fulham,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Huddersfield Town,0,941,0,7755,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Sep 3, 20:13",273,"Tue Dec 19, 16:15:01"
Kongolo,Defender,Fulham,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Rapid Vienna,0.1,1162,0,10245,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Sep 3, 20:04",274,"Tue Dec 19, 16:15:01"
Koz?owski,Midfielder,Brighton,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Joined vitesse on a season long loan,0,0,0,129,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Jul 20, 08:40",137,"Tue Dec 19, 16:15:01"
Krul,Goalkeeper,Luton,4.4,0,0,0,0,0,-1,0,0,,,,100,Available,,0,2873,55,2978,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,665,"Tue Dec 19, 16:15:01"
Kuol,Midfielder,Newcastle,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,On loan to FC Volendam,0,0,0,634,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Aug 9, 08:37",418,"Tue Dec 19, 16:15:01"
Laryea,Defender,Nottm Forest,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Loan to the end of the year with a permanent transfer in view,0,0,0,492,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 4, 09:37",452,"Tue Dec 19, 16:15:01"
Lavia,Midfielder,Chelsea,4.9,0,0,0,0,0,0,0,0,,,,25,Doubtful,Lack of match fitness - 25% chance of playing,0,1133,5,1343,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 24, 14:00",667,"Tue Dec 19, 16:15:01"
Lenglet,Defender,Aston Villa,4.5,0,0,0,0,0,0.5,0,0,,,,100,Available,,0.1,6894,188,4553,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,699,"Tue Dec 19, 16:15:01"
Lewis-Skelly,Midfielder,Arsenal,4.5,0,0,0,0,0,1.3,0,0,,,,100,Available,,0,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,764,"Tue Dec 19, 16:15:01"
Lloris,Goalkeeper,Spurs,4.8,0,0,0,0,0,0,0,0,,,,100,Available,,0.6,29953,567,64761,913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,502,"Tue Dec 19, 16:15:02"
Lonergan,Goalkeeper,Everton,3.9,0,0,0,0,0,0,0,0,,,,100,Available,,0.1,2096,31,3608,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,579,"Tue Dec 19, 16:15:01"
Lowe,Midfielder,Bournemouth,4.9,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to  Swansea City,0,81,0,1247,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sat Sep 2, 08:49",73,"Tue Dec 19, 16:15:01"
Lukaku,Forward,Chelsea,6.8,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Roma,0.3,9006,0,61178,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 07:24",207,"Tue Dec 19, 16:15:01"
Luker,Midfielder,Luton,4.5,0,0,0,0,0,-1,0,0,,,,100,Available,,0,633,11,404,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,729,"Tue Dec 19, 16:15:01"
M.Sarr,Defender,Chelsea,4.3,0,0,0,0,0,0,0,0,,,,100,Available,,0.1,4295,69,8801,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,214,"Tue Dec 19, 16:15:01"
Macey,Goalkeeper,Luton,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Released from contract,0.2,1324,0,41191,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Sep 3, 20:04",323,"Tue Dec 19, 16:15:01"
Mahrez,Midfielder,Man City,7.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Al-Ahli,0,0,0,5529,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Jul 31, 07:05",359,"Tue Dec 19, 16:15:01"
Malacia,Defender,Man Utd,4.3,0,0,0,0,0,0,0,0,,,,0,Injured,Knee injury - Expected back 14 Jan,0,595,6,4614,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Aug 6, 23:30",389,"Tue Dec 19, 16:15:01"
Manquillo,Defender,Newcastle,4,0,0,0,0,0,0.2,0,0,,,,25,Doubtful,Groin Injury - 25% chance of playing,0,3180,4,5929,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Nov 1, 10:00",422,"Tue Dec 19, 16:15:01"
Marcondes,Midfielder,Bournemouth,4.3,0,0,0,0,0,0,0,0,,,,75,Doubtful,Lack of match fitness - 75% chance of playing,0.1,9198,40,7468,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 18, 11:59",74,"Tue Dec 19, 16:15:01"
Marquinhos,Midfielder,Arsenal,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to FC Nantes,0,819,0,11647,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Aug 14, 03:57",11,"Tue Dec 19, 16:15:01"
Marschall,Goalkeeper,Aston Villa,4,0,0,0,0,0,0.5,0,0,,,,100,Available,,0,2646,77,1617,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,670,"Tue Dec 19, 16:15:01"
Marsh,Forward,Sheffield Utd,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Doncaster Rovers,0,3568,0,4681,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 21:50",654,"Tue Dec 19, 16:15:01"
Massengo,Midfielder,Burnley,5,0,0,0,0,0,-0.5,0,0,,,,100,Available,,0,335,8,338,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,694,"Tue Dec 19, 16:15:01"
Mbabu,Defender,Fulham,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Augsburg,0.2,4952,0,40529,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Sep 3, 20:05",277,"Tue Dec 19, 16:15:01"
Mbe Soh,Defender,Nottm Forest,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long to Almere City,0.1,589,0,7388,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Tue Aug 29, 07:47",454,"Tue Dec 19, 16:15:01"
McAtee,Forward,Luton,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Barnsley,0.5,7174,0,229274,587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Aug 28, 08:17",324,"Tue Dec 19, 16:15:01"
McGill,Goalkeeper,Brighton,3.9,0,0,0,0,0,0,0,0,,,,100,Available,,0.3,18957,160,17005,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,141,"Tue Dec 19, 16:15:01"
McNally,Defender,Burnley,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Stoke City,0,0,0,1683,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 4, 09:35",171,"Tue Dec 19, 16:15:01"
Mendes,Midfielder,Luton,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Bolton Wanderers,0,0,0,1425,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Jul 26, 11:29",325,"Tue Dec 19, 16:15:01"
Metcalfe,Midfielder,Everton,4.5,0,0,0,0,0,1.3,0,0,,,,100,Available,,0,4,4,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,760,"Tue Dec 19, 16:15:01"
Mighten,Midfielder,Nottm Forest,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to KV Kortrijk,0,874,0,3242,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 8, 08:21",456,"Tue Dec 19, 16:15:01"
Mings,Defender,Aston Villa,4.1,0,0,0,0,0,0,2.2,5,,,,0,Injured,Knee injury - Unknown return date,1.3,9968,40,1061255,1006,30,0,0,0,2,6,0,0,0,0,0,0,0,3.6,13,5,,"Sat Aug 12, 21:30",51,"Tue Dec 19, 16:15:01"
Muric,Goalkeeper,Burnley,4.3,0,0,0,0,0,-0.5,0,0,,,,100,Available,,0.1,1703,20,16785,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Nov 23, 20:00",172,"Tue Dec 19, 16:15:01"
Muskwe,Forward,Luton,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Exeter City,0.1,1383,0,18049,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 14:47",327,"Tue Dec 19, 16:15:01"
Ndiaye,Forward,Sheffield Utd,5.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Marseille,0,0,0,2140,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Aug 2, 07:28",486,"Tue Dec 19, 16:15:01"
Ndombele,Midfielder,Spurs,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,On loan to Galatasaray with an option to buy for €15m,0.2,12864,0,49363,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Sep 7, 15:49",505,"Tue Dec 19, 16:15:02"
Nelson,Midfielder,Luton,4.5,0,0,0,0,0,-1,0,0,,,,100,Available,,0,629,19,378,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,734,"Tue Dec 19, 16:15:01"
Nkunku,Forward,Chelsea,7.3,0,0,0,0,0,0,0,0,,,,100,Available,,1,65744,22038,128260,1755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 3, 09:30",212,"Tue Dec 19, 16:15:01"
Norrington-Davies,Defender,Sheffield Utd,3.9,0,0,0,0,0,-0.1,0,0,,,,25,Doubtful,Lack of match fitness - 25% chance of playing,0.2,20304,453,13276,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Sun Aug 6, 23:30",487,"Tue Dec 19, 16:15:01"
Nyoni,Midfielder,Liverpool,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,109,8,73,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,743,"Tue Dec 19, 16:15:01"
O'Brien,Midfielder,Nottm Forest,4.9,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Middlesbrough,0,68,0,1188,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 07:24",458,"Tue Dec 19, 16:15:01"
O'Brien,Defender,Crystal Palace,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Lyon,0,415,0,10013,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Thu Aug 17, 06:14",235,"Tue Dec 19, 16:15:01"
O.Richards,Defender,Nottm Forest,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Olympiakos,0,88,0,3823,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Aug 16, 16:30",461,"Tue Dec 19, 16:15:01"
Ojeda,Midfielder,Nottm Forest,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Real Salt Lake,0,0,0,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 4, 09:39",459,"Tue Dec 19, 16:15:01"
Ola-Adebomi,Forward,Crystal Palace,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,5045,136,3099,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,720,"Tue Dec 19, 16:15:01"
Omobamidele,Defender,Nottm Forest,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,590,9,648,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,711,"Tue Dec 19, 16:15:01"
Onyedinma,Midfielder,Luton,5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Rotherham,0,0,0,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Jul 31, 07:05",329,"Tue Dec 19, 16:15:01"
O’Mahony,Forward,Brighton,4.5,0,0,0,0,0,0,0,0,,,,100,Available,,0,2625,160,1279,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,741,"Tue Dec 19, 16:15:01"
Panzo,Defender,Nottm Forest,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Cardiff City,0.1,884,0,9322,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 14:45",460,"Tue Dec 19, 16:15:01"
Peacock-Farrell,Goalkeeper,Burnley,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Joined Aarhus on loan,0,0,0,971,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Jul 26, 11:25",175,"Tue Dec 19, 16:15:01"
Pearson,Midfielder,Bournemouth,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent transfer to Stoke City,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Tue Jul 11, 08:58",79,"Tue Dec 19, 16:15:01"
Pepe,Midfielder,Arsenal,4.9,0,0,0,0,0,0,0,0,,,,0,Unavailable,Permanent move to Trabzonspor,0,667,0,6297,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Sep 11, 14:13",16,"Tue Dec 19, 16:15:01"
Pepple,Forward,Luton,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season long loan to Bromley,0.1,838,0,16944,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Mon Aug 21, 08:33",331,"Tue Dec 19, 16:15:01"
Pereira,Midfielder,Luton,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to Sutton United,0.1,1744,0,17123,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 14:46",332,"Tue Dec 19, 16:15:01"
Perrone,Midfielder,Man City,4.4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Season-long loan to UD Las Palmas,0,332,0,2243,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Aug 25, 08:39",363,"Tue Dec 19, 16:15:01"
Phillips,Defender,Liverpool,4,0,0,0,0,0,0,0,0,,,,0,Unavailable,Loaned to Celtic - expected back January,0.1,2433,0,18044,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Sep 1, 07:23",306,"Tue Dec 19, 16:15:01"
Phillips,Defender,Spurs,4,0,0,0,0,0,0,0,0,,,,0,Injured,Ankle injury - Expected back 14 Jan,0.1,10728,14,8359,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Fri Nov 24, 15:00",702,"Tue Dec 19, 16:15:02"
Pitaluga,Goalkeeper,Liverpool,4,0,0,0,0,0,0,0,0,,,,100,Available,,0,74,14,44,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,756,"Tue Dec 19, 16:15:01"
Plange,Forward,Crystal Palace,4.5,0,0,0,0,0,0,0,0,,,,0,Unavailable,"Half season loan to Carlisle United, expected back in January",0,0,0,1482,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,"Wed Aug 2, 07:30",237,"Tue Dec 19, 16:15:01"
